mal_id,title,title_english,type,source,episodes,status,score,scored_by,rank,popularity,members,favorites,synopsis,genres,studios,bayesian_weighted_score
34572,Black Clover,Black Clover,TV,Manga,170,Finished Airing,8.14,1150000,240,15,1850000,65000,Black Clover is an acclaimed anime series.,"[{""mal_id"": 1, ""name"": ""Action""}, {""mal_id"": 2, ""name"": ""Comedy""}, {""mal_id"": 3, ""name"": ""Fantasy""}]","[{""mal_id"": 1, ""name"": ""Studio Pierrot""}]",8.0846175
1,Cowboy Bebop,Cowboy Bebop,TV,Original,26,Finished Airing,8.75,938450,28,43,1780490,132400,Cowboy Bebop is an acclaimed anime series.,"[{""mal_id"": 1, ""name"": ""Action""}, {""mal_id"": 2, ""name"": ""Sci-Fi""}, {""mal_id"": 3, ""name"": ""Space""}]","[{""mal_id"": 1, ""name"": ""Sunrise""}]",8.651908037837018
5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist: Brotherhood,TV,Manga,64,Finished Airing,9.1,2080000,1,3,3200000,220000,Fullmetal Alchemist: Brotherhood is an acclaimed anime series.,"[{""mal_id"": 1, ""name"": ""Action""}, {""mal_id"": 2, ""name"": ""Adventure""}, {""mal_id"": 3, ""name"": ""Drama""}, {""mal_id"": 4, ""name"": ""Fantasy""}]","[{""mal_id"": 1, ""name"": ""Bones""}]",9.04626338028169
9253,Steins;Gate,Steins;Gate,TV,Visual novel,24,Finished Airing,9.07,1350000,3,13,2450000,180000,Steins;Gate is an acclaimed anime series.,"[{""mal_id"": 1, ""name"": ""Drama""}, {""mal_id"": 2, ""name"": ""Sci-Fi""}, {""mal_id"": 3, ""name"": ""Thriller""}]","[{""mal_id"": 1, ""name"": ""White Fox""}]",8.989315000000001
11061,Hunter x Hunter (2011),Hunter x Hunter (2011),TV,Manga,148,Finished Airing,9.03,1650000,6,10,2600000,195000,Hunter x Hunter (2011) is an acclaimed anime series.,"[{""mal_id"": 1, ""name"": ""Action""}, {""mal_id"": 2, ""name"": ""Adventure""}, {""mal_id"": 3, ""name"": ""Fantasy""}]","[{""mal_id"": 1, ""name"": ""Madhouse""}]",8.96473
16498,Attack on Titan,Attack on Titan,TV,Manga,25,Finished Airing,8.54,2580100,112,1,3820100,178900,Attack on Titan is an acclaimed anime series.,"[{""mal_id"": 1, ""name"": ""Action""}, {""mal_id"": 2, ""name"": ""Drama""}, {""mal_id"": 3, ""name"": ""Fantasy""}]","[{""mal_id"": 1, ""name"": ""Wit Studio""}]",8.507127105433252
1535,Death Note,Death Note,TV,Manga,37,Finished Airing,8.62,2600000,75,2,3700000,165000,Death Note is an acclaimed anime series.,"[{""mal_id"": 1, ""name"": ""Mystery""}, {""mal_id"": 2, ""name"": ""Psychological""}, {""mal_id"": 3, ""name"": ""Supernatural""}, {""mal_id"": 4, ""name"": ""Thriller""}]","[{""mal_id"": 1, ""name"": ""Madhouse""}]",8.585864528301887
30276,One Punch Man,One Punch Man,TV,Web manga,12,Finished Airing,8.5,2150400,128,4,3120800,62100,One Punch Man is an acclaimed anime series.,"[{""mal_id"": 1, ""name"": ""Action""}, {""mal_id"": 2, ""name"": ""Comedy""}]","[{""mal_id"": 1, ""name"": ""Madhouse""}]",8.461616524268313
20,Naruto,Naruto,TV,Manga,220,Finished Airing,7.98,1104820,642,8,2610500,74210,Naruto is an acclaimed anime series.,"[{""mal_id"": 1, ""name"": ""Action""}, {""mal_id"": 2, ""name"": ""Adventure""}, {""mal_id"": 3, ""name"": ""Fantasy""}]","[{""mal_id"": 1, ""name"": ""Studio Pierrot""}]",7.929378258083512
21,One Piece,One Piece,TV,Manga,1080,Currently Airing,8.73,1250000,40,19,2200000,210000,One Piece is an acclaimed anime series.,"[{""mal_id"": 1, ""name"": ""Action""}, {""mal_id"": 2, ""name"": ""Adventure""}, {""mal_id"": 3, ""name"": ""Fantasy""}]","[{""mal_id"": 1, ""name"": ""Toei Animation""}]",8.656185384615386
38000,Demon Slayer: Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba,TV,Manga,26,Finished Airing,8.49,1900000,135,7,2800000,88000,Demon Slayer: Kimetsu no Yaiba is an acclaimed anime series.,"[{""mal_id"": 1, ""name"": ""Action""}, {""mal_id"": 2, ""name"": ""Fantasy""}, {""mal_id"": 3, ""name"": ""Supernatural""}]","[{""mal_id"": 1, ""name"": ""Ufotable""}]",8.446944102564101
40748,Jujutsu Kaisen,Jujutsu Kaisen,TV,Manga,24,Finished Airing,8.62,1600000,70,11,2400000,92000,Jujutsu Kaisen is an acclaimed anime series.,"[{""mal_id"": 1, ""name"": ""Action""}, {""mal_id"": 2, ""name"": ""Fantasy""}, {""mal_id"": 3, ""name"": ""Supernatural""}]","[{""mal_id"": 1, ""name"": ""MAPPA""}]",8.565176363636363
31964,My Hero Academia,My Hero Academia,TV,Manga,13,Finished Airing,7.88,1800000,800,6,2900000,54000,My Hero Academia is an acclaimed anime series.,"[{""mal_id"": 1, ""name"": ""Action""}, {""mal_id"": 2, ""name"": ""Supernatural""}]","[{""mal_id"": 1, ""name"": ""Bones""}]",7.851103243243244
44511,Chainsaw Man,Chainsaw Man,TV,Manga,12,Finished Airing,8.52,1200000,105,22,1950000,78000,Chainsaw Man is an acclaimed anime series.,"[{""mal_id"": 1, ""name"": ""Action""}, {""mal_id"": 2, ""name"": ""Fantasy""}, {""mal_id"": 3, ""name"": ""Supernatural""}]","[{""mal_id"": 1, ""name"": ""MAPPA""}]",8.4516328
