anime_id,genre_id,genre_name,is_primary_genre
34572,1,Action,1
34572,2,Comedy,0
34572,3,Fantasy,0
1,1,Action,1
1,2,Sci-Fi,0
1,3,Space,0
5114,1,Action,1
5114,2,Adventure,0
5114,3,Drama,0
5114,4,Fantasy,0
9253,1,Drama,1
9253,2,Sci-Fi,0
9253,3,Thriller,0
11061,1,Action,1
11061,2,Adventure,0
11061,3,Fantasy,0
16498,1,Action,1
16498,2,Drama,0
16498,3,Fantasy,0
1535,1,Mystery,1
1535,2,Psychological,0
1535,3,Supernatural,0
1535,4,Thriller,0
30276,1,Action,1
30276,2,Comedy,0
20,1,Action,1
20,2,Adventure,0
20,3,Fantasy,0
21,1,Action,1
21,2,Adventure,0
21,3,Fantasy,0
38000,1,Action,1
38000,2,Fantasy,0
38000,3,Supernatural,0
40748,1,Action,1
40748,2,Fantasy,0
40748,3,Supernatural,0
31964,1,Action,1
31964,2,Supernatural,0
44511,1,Action,1
44511,2,Fantasy,0
44511,3,Supernatural,0
52299,1,Action,1
52299,2,Fantasy,0
11757,1,Action,1
11757,2,Adventure,0
11757,3,Fantasy,0
22319,1,Action,1
22319,2,Horror,0
22319,3,Psychological,0
6702,1,Action,1
6702,2,Adventure,0
6702,3,Fantasy,0
30694,1,Action,1
30694,2,Adventure,0
30694,3,Fantasy,0
19,1,Drama,1
19,2,Mystery,0
19,3,Psychological,0
19,4,Thriller,0
205,1,Action,1
205,2,Adventure,0
205,3,Comedy,0
199,1,Adventure,1
199,2,Award Winning,0
199,3,Supernatural,0
37521,1,Action,1
37521,2,Adventure,0
37521,3,Drama,0
37521,4,Historical,0
30,1,Romance,1
30,2,Fantasy,0
30,3,Ecchi,0
31,1,Music,1
31,2,Shounen,0
32,1,Shojo,1
32,2,Sci-Fi,0
32,3,Martial Arts,0
33,1,Comedy,1
33,2,Military,0
33,3,Romance,0
34,1,Horror,1
34,2,Music,0
35,1,Josei,1
35,2,Psychological,0
36,1,Fantasy,1
36,2,Isekai,0
37,1,Cyberpunk,1
38,1,Fantasy,1
38,2,Supernatural,0
39,1,Ecchi,1
40,1,Thriller,1
40,2,Cyberpunk,0
40,3,Josei,0
41,1,Parody,1
42,1,Martial Arts,1
42,2,Mecha,0
42,3,Mystery,0
42,4,Drama,0
43,1,Fantasy,1
43,2,Mecha,0
43,3,Horror,0
43,4,Sci-Fi,0
44,1,Military,1
44,2,Thriller,0
45,1,Adventure,1
45,2,Shounen,0
45,3,Psychological,0
46,1,Mecha,1
47,1,Seinen,1
48,1,Vampire,1
48,2,Cyberpunk,0
48,3,Drama,0
49,1,Comedy,1
50,1,Parody,1
51,1,Supernatural,1
52,1,Horror,1
52,2,Martial Arts,0
52,3,Space,0
53,1,Military,1
53,2,Comedy,0
53,3,Harem,0
54,1,Shojo,1
55,1,Mecha,1
55,2,Comedy,0
