anime_id,studio_id,studio_name,is_primary_studio
34572,1,Studio Pierrot,1
1,1,Sunrise,1
5114,1,Bones,1
9253,1,White Fox,1
11061,1,Madhouse,1
16498,1,Wit Studio,1
1535,1,Madhouse,1
30276,1,Madhouse,1
20,1,Studio Pierrot,1
21,1,Toei Animation,1
38000,1,Ufotable,1
40748,1,MAPPA,1
31964,1,Bones,1
44511,1,MAPPA,1
52299,1,A-1 Pictures,1
11757,1,A-1 Pictures,1
22319,1,Studio Pierrot,1
6702,1,A-1 Pictures,1
30694,1,Toei Animation,1
19,1,Madhouse,1
205,1,Manglobe,1
199,1,Studio Ghibli,1
37521,1,Wit Studio,1
30,1,Lerche,1
31,1,Sunrise,1
31,2,J.C.Staff,0
32,1,David Production,1
33,1,CloverWorks,1
34,1,A-1 Pictures,1
34,2,White Fox,0
35,1,White Fox,1
35,2,Studio Ghibli,0
36,1,Toei Animation,1
36,2,Madhouse,0
37,1,White Fox,1
37,2,wit Studio,0
38,1,Trigger,1
39,1,Toei Animation,1
39,2,Trigger,0
40,1,Studio Ghibli,1
40,2,Kinema Citrus,0
41,1,wit Studio,1
42,1,Lerche,1
43,1,Bones,1
43,2,Toei Animation,0
44,1,J.C.Staff,1
45,1,Madhouse,1
46,1,A-1 Pictures,1
46,2,Kyoto Animation,0
47,1,Kinema Citrus,1
48,1,A-1 Pictures,1
49,1,A-1 Pictures,1
49,2,Madhouse,0
50,1,Trigger,1
51,1,Doga Kobo,1
51,2,David Production,0
52,1,CloverWorks,1
53,1,Ufotable,1
53,2,White Fox,0
54,1,Ufotable,1
54,2,David Production,0
55,1,Doga Kobo,1
55,2,wit Studio,0
56,1,Doga Kobo,1
57,1,Lerche,1
58,1,Shaft,1
59,1,Madhouse,1
59,2,Trigger,0
60,1,David Production,1
61,1,Production I.G,1
62,1,CloverWorks,1
62,2,Silver Link.,0
63,1,Sunrise,1
63,2,CloverWorks,0
64,1,A-1 Pictures,1
65,1,Sunrise,1
66,1,J.C.Staff,1
67,1,Silver Link.,1
68,1,P.A. Works,1
68,2,Production I.G,0
69,1,Silver Link.,1
69,2,Doga Kobo,0
70,1,Trigger,1
70,2,Sunrise,0
71,1,CloverWorks,1
72,1,wit Studio,1
73,1,J.C.Staff,1
73,2,MAPPA,0
74,1,Shaft,1
74,2,Studio Ghibli,0
75,1,Toei Animation,1
75,2,Bones,0
76,1,Kyoto Animation,1
77,1,P.A. Works,1
77,2,MAPPA,0
78,1,MAPPA,1
79,1,TMS Entertainment,1
80,1,A-1 Pictures,1
80,2,J.C.Staff,0
81,1,Trigger,1
81,2,Madhouse,0
82,1,Doga Kobo,1
82,2,Shaft,0
83,1,Bones,1
84,1,Kyoto Animation,1
84,2,Doga Kobo,0
85,1,Studio Ghibli,1
85,2,wit Studio,0
86,1,Kinema Citrus,1
87,1,White Fox,1
87,2,Toei Animation,0
88,1,Studio Pierrot,1
88,2,White Fox,0
89,1,J.C.Staff,1
90,1,Studio Ghibli,1
91,1,Studio Pierrot,1
91,2,Bones,0
92,1,Bones,1
92,2,White Fox,0
93,1,Production I.G,1
94,1,Trigger,1
94,2,Ufotable,0
95,1,Doga Kobo,1
95,2,Bones,0
96,1,Trigger,1
97,1,Studio Pierrot,1
97,2,Lerche,0
98,1,Bones,1
98,2,Production I.G,0
99,1,Studio Pierrot,1
100,1,David Production,1
101,1,CloverWorks,1
101,2,TMS Entertainment,0
102,1,Studio Ghibli,1
102,2,Kinema Citrus,0
103,1,wit Studio,1
103,2,Lerche,0
104,1,Silver Link.,1
105,1,Production I.G,1
106,1,wit Studio,1
106,2,Ufotable,0
107,1,Silver Link.,1
107,2,Doga Kobo,0
108,1,Ufotable,1
109,1,MAPPA,1
109,2,wit Studio,0
110,1,TMS Entertainment,1
111,1,TMS Entertainment,1
112,1,Kinema Citrus,1
113,1,Studio Ghibli,1
113,2,Silver Link.,0
114,1,MAPPA,1
115,1,wit Studio,1
116,1,Kinema Citrus,1
116,2,Doga Kobo,0
117,1,MAPPA,1
117,2,A-1 Pictures,0
118,1,Production I.G,1
118,2,Lerche,0
119,1,Studio Pierrot,1
119,2,Kinema Citrus,0
120,1,David Production,1
121,1,MAPPA,1
121,2,CloverWorks,0
122,1,MAPPA,1
123,1,Bones,1
123,2,CloverWorks,0
124,1,Studio Ghibli,1
124,2,Doga Kobo,0
125,1,Toei Animation,1
125,2,Studio Pierrot,0
126,1,Lerche,1
127,1,Ufotable,1
128,1,Toei Animation,1
129,1,MAPPA,1
130,1,Ufotable,1
130,2,Kinema Citrus,0
131,1,J.C.Staff,1
131,2,P.A. Works,0
132,1,Sunrise,1
133,1,Kinema Citrus,1
134,1,P.A. Works,1
134,2,Studio Ghibli,0
135,1,MAPPA,1
135,2,J.C.Staff,0
136,1,Doga Kobo,1
137,1,Production I.G,1
138,1,Toei Animation,1
138,2,A-1 Pictures,0
139,1,Sunrise,1
140,1,MAPPA,1
140,2,Studio Ghibli,0
141,1,wit Studio,1
142,1,Silver Link.,1
142,2,David Production,0
143,1,Madhouse,1
144,1,Ufotable,1
144,2,Madhouse,0
145,1,wit Studio,1
145,2,Trigger,0
146,1,wit Studio,1
147,1,David Production,1
147,2,P.A. Works,0
148,1,Madhouse,1
149,1,Kinema Citrus,1
150,1,Doga Kobo,1
150,2,Shaft,0
151,1,MAPPA,1
151,2,Studio Pierrot,0
152,1,Kyoto Animation,1
153,1,wit Studio,1
153,2,P.A. Works,0
154,1,White Fox,1
155,1,wit Studio,1
156,1,P.A. Works,1
156,2,J.C.Staff,0
157,1,Bones,1
157,2,Sunrise,0
