studio_id,studio_name
1,Studio Pierrot
1,Sunrise
1,Bones
1,White Fox
1,Madhouse
1,Wit Studio
1,Toei Animation
1,Ufotable
1,MAPPA
1,A-1 Pictures
1,Manglobe
1,Studio Ghibli
1,Lerche
2,J.C.Staff
1,David Production
1,CloverWorks
2,White Fox
2,Studio Ghibli
2,Madhouse
2,wit Studio
1,Trigger
2,Trigger
2,Kinema Citrus
1,wit Studio
2,Toei Animation
1,J.C.Staff
2,Kyoto Animation
1,Kinema Citrus
1,Doga Kobo
2,David Production
1,Shaft
1,Production I.G
2,Silver Link.
2,CloverWorks
1,Silver Link.
1,P.A. Works
2,Production I.G
2,Doga Kobo
2,Sunrise
2,MAPPA
2,Bones
1,Kyoto Animation
1,TMS Entertainment
2,Shaft
2,Ufotable
2,Lerche
2,TMS Entertainment
2,A-1 Pictures
2,Studio Pierrot
2,P.A. Works
