mal_id,score,scored_by,rank,popularity,members,favorites,snapshot_date
34572,8.14,1150000,240,15,1850000,65000,2026-08-03
1,8.75,938450,28,43,1780490,132400,2026-08-03
5114,9.1,2080000,1,3,3200000,220000,2026-08-03
9253,9.07,1350000,3,13,2450000,180000,2026-08-03
11061,9.03,1650000,6,10,2600000,195000,2026-08-03
16498,8.54,2580100,112,1,3820100,178900,2026-08-03
1535,8.62,2600000,75,2,3700000,165000,2026-08-03
30276,8.5,2150400,128,4,3120800,62100,2026-08-03
20,7.98,1104820,642,8,2610500,74210,2026-08-03
21,8.73,1250000,40,19,2200000,210000,2026-08-03
38000,8.49,1900000,135,7,2800000,88000,2026-08-03
40748,8.62,1600000,70,11,2400000,92000,2026-08-03
31964,7.88,1800000,800,6,2900000,54000,2026-08-03
44511,8.52,1200000,105,22,1950000,78000,2026-08-03
52299,8.35,750000,190,35,1250000,48000,2026-08-03
11757,7.2,2100000,2900,5,3050000,71000,2026-08-03
22319,7.79,2300000,1100,9,2980000,93000,2026-08-03
6702,7.58,1350000,1600,25,2100000,58000,2026-08-03
30694,7.42,950000,2100,78,1450000,42000,2026-08-03
19,8.89,450000,24,140,1050000,52000,2026-08-03
205,8.4,620000,180,110,1150000,48000,2026-08-03
199,8.78,1200000,32,42,1750000,31000,2026-08-03
37521,8.73,850000,42,85,1400000,61000,2026-08-03
30,6.72,442917,8280,9864,460580,1749,2026-08-03
31,5.42,443643,1675,1520,623032,24908,2026-08-03
32,6.25,397422,3151,11544,439735,4568,2026-08-03
33,6.94,291976,3433,10981,530693,17506,2026-08-03
34,6.51,340535,6573,4387,370862,4347,2026-08-03
35,6.08,150311,9578,7020,290184,38252,2026-08-03
36,7.21,168253,9764,7669,390586,34686,2026-08-03
37,6.31,117470,4316,8202,272348,11718,2026-08-03
38,9.18,1099,5039,3924,172050,3806,2026-08-03
39,6.08,132369,8646,9939,200683,27740,2026-08-03
40,6.01,67636,3609,118,245890,4662,2026-08-03
41,7.05,74799,8835,2168,345364,37433,2026-08-03
42,5.75,490210,5560,1791,519611,16305,2026-08-03
43,7.28,465156,3873,2725,754684,26644,2026-08-03
44,4.48,278585,3112,4862,518140,14277,2026-08-03
45,9.0,532996,3854,6616,575997,7866,2026-08-03
46,6.34,279017,5181,1189,487522,620,2026-08-03
47,5.96,278582,4670,2585,349027,28726,2026-08-03
48,7.19,580597,5618,3336,663096,17310,2026-08-03
49,7.15,4217,7240,9039,180096,28038,2026-08-03
50,7.83,579864,5975,654,658507,23459,2026-08-03
51,7.04,162560,407,2939,287678,21780,2026-08-03
52,8.31,233738,3653,388,339371,12666,2026-08-03
53,5.23,534650,4280,2926,745196,38059,2026-08-03
54,7.07,536765,728,11613,598396,28587,2026-08-03
55,5.65,131179,6593,11424,289634,19386,2026-08-03
56,5.78,925,9940,10727,161242,21128,2026-08-03
57,6.33,89414,3849,11024,239199,20353,2026-08-03
58,5.36,478038,6548,3998,696324,9681,2026-08-03
59,5.59,261803,8703,9158,326429,39033,2026-08-03
60,7.58,259749,7207,1270,406140,18735,2026-08-03
61,5.88,158657,3506,1053,280904,27198,2026-08-03
62,7.01,399358,6866,8819,650432,35801,2026-08-03
63,6.73,352957,8752,442,565935,25832,2026-08-03
64,6.25,343222,1342,7706,521169,1280,2026-08-03
65,7.32,259795,2069,7759,365317,7506,2026-08-03
66,7.31,27425,3250,1246,191980,38813,2026-08-03
67,6.68,43564,8290,10610,226598,22372,2026-08-03
68,5.16,283701,9708,4398,566858,21132,2026-08-03
69,7.51,397899,7989,3476,575267,23263,2026-08-03
70,6.09,253580,7801,10583,467665,32176,2026-08-03
71,6.73,255623,8699,5633,417163,27895,2026-08-03
72,7.8,194643,9660,8596,296065,39121,2026-08-03
73,7.73,15335,9067,4787,296375,8285,2026-08-03
74,5.26,265242,8057,1214,516709,37825,2026-08-03
75,9.2,124705,6233,7382,418295,29024,2026-08-03
76,6.19,85631,44,6694,168974,29534,2026-08-03
77,6.19,476586,1881,8923,514904,14743,2026-08-03
78,5.1,303130,6595,4461,534372,32808,2026-08-03
79,5.65,338478,9425,9620,470742,1369,2026-08-03
80,7.98,516111,5261,10980,564948,6865,2026-08-03
81,6.78,477419,6623,8432,524587,85,2026-08-03
82,5.49,213946,7942,1990,354960,1901,2026-08-03
83,5.48,119472,4782,8338,362403,17929,2026-08-03
84,4.54,73701,4635,11896,219534,19576,2026-08-03
85,6.68,198316,716,5214,324518,31006,2026-08-03
86,7.76,105739,2362,6718,337586,10126,2026-08-03
